Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2021-01-04,2021,1,4,Monday,01,2021-01,87.11,87.26,84.65,85.66,38038000,0.0,85.66,85.66
2021-01-05,2021,1,5,Tuesday,01,2021-01,85.5,86.62,85.15,86.29,22906000,0.007336910002363917,85.975,85.975
2021-01-06,2021,1,6,Wednesday,01,2021-01,84.39,86.64,84.21,86.01,52042000,-0.003233807376914699,85.98666666666668,85.98666666666668
2021-01-07,2021,1,7,Thursday,01,2021-01,86.24,88.64,86.09,88.58,45300000,0.029943122535373456,86.635,86.635
2021-01-08,2021,1,8,Friday,01,2021-01,88.62,89.7,87.9,89.57,41012000,0.01116794158418788,87.22200000000001,87.22200000000001
2021-01-11,2021,1,11,Monday,02,2021-02,88.52,88.93,87.26,87.56,24194000,-0.022404774152036788,87.27833333333332,87.27833333333332
2021-01-12,2021,1,12,Tuesday,02,2021-02,86.93,88.13,85.51,86.56,27140000,-0.011416563505473154,87.17571428571429,87.17571428571429
2021-01-13,2021,1,13,Wednesday,02,2021-02,86.17,87.48,86.14,86.95,21882000,0.0044945626509211856,87.14750000000001,87.14750000000001
2021-01-14,2021,1,14,Thursday,02,2021-02,86.91,87.97,85.91,86.25,23590000,-0.008105184190784542,87.04777777777778,87.04777777777778
2021-01-15,2021,1,15,Friday,02,2021-02,86.15,87.03,85.33,86.05,26844000,-0.002293013553389067,86.94800000000001,86.94800000000001
2021-01-19,2021,1,19,Tuesday,03,2021-03,86.85,89.67,86.31,88.76,34692000,0.03148848836743312,87.11272727272727,87.11272727272727
2021-01-20,2021,1,20,Wednesday,03,2021-03,90.77,94.35,90.48,93.52,49806000,0.053627959277311676,87.64666666666666,87.64666666666666
2021-01-21,2021,1,21,Thursday,03,2021-03,94.07,95.9,93.53,93.74,41278000,0.00230544936112298,88.11538461538461,88.11538461538461
2021-01-22,2021,1,22,Friday,03,2021-03,93.96,94.71,93.27,94.22,25442000,0.005181678201855222,88.55142857142857,88.55142857142857
2021-01-25,2021,1,25,Monday,04,2021-04,95.19,95.64,92.56,94.14,38546000,-0.00086794667816259,89.15714285714284,88.92399999999999
2021-01-26,2021,1,26,Tuesday,04,2021-04,93.62,95.41,93.39,95.02,26262000,0.009392486561843327,89.78071428571427,89.305
2021-01-27,2021,1,27,Wednesday,04,2021-04,93.3,93.67,89.66,90.74,54966000,-0.04509092041895102,90.11857142857141,89.38941176470587
2021-01-28,2021,1,28,Thursday,04,2021-04,91.39,94.11,91.33,92.34,35462000,0.01765356514808003,90.38714285714286,89.55333333333334
2021-01-29,2021,1,29,Friday,04,2021-04,91.5,92.05,89.72,90.98,32252000,-0.014690376214352319,90.48785714285715,89.62842105263158
2021-02-01,2021,2,1,Monday,05,2021-05,91.87,95.28,91.74,94.24,32044000,0.03574011558196455,90.965,89.85900000000001
2021-02-02,2021,2,2,Tuesday,05,2021-05,95.29,96.93,94.89,95.53,45474000,0.013758822207383226,91.60571428571428,90.12904761904763
